canonical_field,business_definition,source_candidates,source_columns_by_schema,expected_type,confidence_rule,fallback_rule,owner_source_system,nullable,notes
canonical_entity,Short canonical legal-entity code (BCPD / BCPBL / ASD / etc.),"gl_v2.entity_name | 2025Status.HorzCustomer | LotData.HorzSeller | qb_register filename","datarails_38col: company_name; vertical_financials_46col: company_name; qb_register_12col: filename-implied",string,high if appears in 2+ sources; medium if 1 source; unmapped otherwise,fallback to 'BCPD' for any QB-register row (filename-confirmed),GL,false,Authoritative for entity-level identity. See staged_entity_crosswalk_v0.csv.
entity_long_name,Full LLC name as filed,gl_v2.entity_name,"datarails_38col: company_name; vertical_financials_46col: company_name",string,high if matches GL company_name verbatim,carry GL value verbatim,GL,false,Identity check field
canonical_project,Canonical project / community name,"inventory.canonical_project | LotData.Project | 2025Status.Project | CollateralReport.Project | gl_v2.project_code (via xwalk) | clickup.subdivision (via xwalk)","datarails_38col: project_code (xwalk); vertical_financials_46col: project_code (xwalk); inventory: subdiv (xwalk); LotData/2025Status: Project (identity)",string,high if 2+ ops sources OR 1 ops + 1 GL source agree,2025Status > LotData > inventory > GL > ClickUp,Inventory + 2025Status,false,16 active per 2025Status; 17 with Meadow Creek; 42 canonical incl. historical. See staged_project_crosswalk_v0.csv.
project_confidence,Confidence in subdiv → canonical_project mapping,inventory.project_confidence,inventory: derived,enum:high|medium|low|unmapped,direct passthrough from xwalk,n/a,Inventory stage,false,Assigned at stage time per SUBDIV_TO_PROJECT
canonical_phase,Phase / plat label normalized per pipelines/config.py:normalize_phase,"inventory.phase | LotData.Phase | 2025Status.Phase | clickup.phase | allocation workbooks","inventory: phase; LotData: Phase; 2025Status: Phase; clickup: phase",string,high if 2+ of {inventory; Lot Data; 2025Status} carry it; medium if 1; low if ClickUp-only,Lot Data > 2025Status > inventory > ClickUp,Lot Data + 2025Status,true,Phase is empty (0% fill) in all GL source schemas; cannot derive phase from GL.
canonical_lot_id,Opaque blake2s-8 hash of (canonical_project | canonical_phase | canonical_lot_number),"inventory.canonical_lot_id (computed at stage); recomputed for other sources at canonical-table build","inventory: derived from subdiv+phase+lot_num",string,inherits worst-link of project_confidence and phase confidence and lot source,n/a,derived,false,Stable across runs (deterministic hash)
canonical_lot_number,Lot identifier within phase (normalized: strip whitespace + .0 + leading zeros from numeric prefix),"inventory.lot_num | LotData.LotNo. | 2025Status.Lot | clickup.lot_num | gl_v2.lot","inventory: lot_num; LotData: LotNo.; 2025Status: Lot; clickup: lot_num; gl_v2: lot",string,high if appears in inventory + at least one of {ClickUp; GL; LotData},inventory > LotData > 2025Status > ClickUp > GL,Inventory,false,GL VF lot codes encode phase+lot for some projects; v0 normalizer strips zeros only; v1 follow-up adds phase decoder.
lot_status,High-level lot status,inventory.lot_status,inventory: derived,enum:ACTIVE|CLOSED|ACTIVE_PROJECTED,high if from inventory; medium if cross-checked with ClickUp status,inventory > ClickUp > GL inference,Inventory,true,ACTIVE = INVENTORY-tab row; CLOSED = CLOSED-tab row with closing_date <= as_of; ACTIVE_PROJECTED = CLOSED-tab row with closing_date > as_of (forward-projected)
horz_customer,Vertical-builder customer who builds the home (BCP / Lennar / EXT / etc.),"LotData.HorzCustomer | 2025Status.HorzCustomer",identity from each source,string,high if matches across sources,LotData > 2025Status,Lot Data,true,BCP = BCPD-built. Filter HorzCustomer=BCP for in-scope.
horz_seller,Horizontal developer entity that develops the lot (BCPD / BCPBL / ASD / BCPI),LotData.HorzSeller,LotData,string,high; identity mapping,n/a,Lot Data,true,Horizontal-developer attribution; affects which workbook holds the allocation budget.
